name,capital,labor
121,6250,7748.571429
122,23943.33333,6881.428571
123,8520,285.7142857
124,0,5341.428571
125,166.6666667,5000
126,4043.333333,11571.42857
127,33.33333333,11142.85714
128,11333.33333,785.7142857
129,760,1714.285714
130,10666.66667,6240
131,3466.666667,9000
132,0,16285.71429
133,2250,8328.571429
134,1836.666667,10714.28571
135,9333.333333,0
136,4496.666667,2342.857143
137,1766.666667,11107.14286
138,0,5142.857143
139,0,5714.285714
140,20000,0
141,4800,1571.428571
142,20743.33333,0
143,41733.33333,0
144,12666.66667,7714.285714
145,91200,0
146,0,10000
147,146.6666667,6874.285714
148,2833.333333,5782.857143
149,10000,18571.42857
150,2236.666667,26857.14286
151,13000,0
152,54000,17857.14286
153,17666.66667,5428.571429
154,10666.66667,0
155,12683.33333,8571.428571
156,133.3333333,17142.85714
157,1500,7142.857143
158,21523.33333,0
159,12826.66667,9214.285714
160,0,9057.142857
161,7983.333333,14071.42857
162,7486.666667,0
163,0,12885.71429
164,17146.66667,16994.28571
165,7876.666667,3857.142857
166,12756.66667,0
167,6020,0
168,1640,142.8571429
169,15726.66667,7142.857143
170,0,6857.142857
171,416.6666667,2288.571429
172,0,3571.428571
173,8216.666667,6535.714286
174,0,5944.285714
175,16690,10557.14286
176,4920,0
177,1333.333333,6000
178,866.6666667,3142.857143
179,10000,7285.714286
180,7333.333333,14285.71429
181,17333.33333,17142.85714
182,17333.33333,0
183,9370,13571.42857
184,18666.66667,4571.428571
185,50120,0
186,8200,0
187,2713.333333,1052.857143
188,0,4285.714286
189,8640,3814.285714
190,10453.33333,0
191,26733.33333,0
192,4880,0
193,4000,6000
194,566.6666667,13571.42857
195,666.6666667,10714.28571
196,25000,11428.57143
197,7266.666667,8428.571429
198,8333.333333,3142.857143
199,666.6666667,24285.71429
200,433.3333333,7142.857143
201,266.6666667,7142.857143
202,1000,24285.71429
203,2216.666667,5581.428571
204,10000,5714.285714
205,5600,11428.57143
206,11333.33333,0
207,8506.666667,0
208,83.33333333,12871.42857
209,2000,8857.142857
210,11406.66667,285.7142857
211,3280,1714.285714
212,2786.666667,11785.71429
213,10333.33333,624.2857143
214,716.6666667,6000
215,3270,5455.714286
216,5620,8328.571429
217,2666.666667,2571.428571
218,3090,407.1428571
219,0,4714.285714
220,0,3428.571429
221,1233.333333,1028.571429
222,0,1357.142857
223,353.3333333,10714.28571
224,10826.66667,214.2857143
225,9933.333333,5714.285714
226,4500,20000
227,17666.66667,11428.57143
228,166.6666667,17142.85714
229,19796.66667,0
230,30000,19285.71429
231,22820,0
232,28220,8191.428571
233,4466.666667,4292.857143
234,14333.33333,4428.571429
235,8933.333333,2000
236,5640,428.5714286
237,216.6666667,11428.57143
238,4320,0
239,8556.666667,1565.714286
240,5800,5714.285714
241,17213.33333,7377.142857
242,1000,500
243,6030,0
244,560,2000
245,1333.333333,17142.85714
246,8833.333333,5500
247,0,10000
248,0,9285.714286
249,0,7142.857143
250,14520,0
251,14466.66667,14357.14286
252,33760,0
253,12000,3571.428571
254,5726.666667,342.8571429
255,5733.333333,7240
256,0,14960
257,0,9857.142857
258,35613.33333,0
259,5600,0
260,0,3001.428571
261,5433.333333,0
262,18176.66667,16857.14286
263,0,15714.28571
264,2450,14285.71429
265,0,12857.14286
266,2666.666667,928.5714286
267,1000,0
268,5416.666667,857.1428571
269,0,10642.85714
270,4666.666667,5714.285714
271,4250,5714.285714
272,8866.666667,0
273,12793.33333,0
274,21066.66667,14714.28571
275,5270,2512.857143
276,4200,7928.571429
277,15000,0
278,4120,0
279,2000,14714.28571
280,3233.333333,0
281,0,297.1428571
282,10000,9285.714286
283,0,21714.28571
284,3500,11571.42857
285,2880,2262.857143
286,5583.333333,17142.85714
287,15670,42.85714286
288,8250,0
289,16780,0
290,1160,6242.857143
291,2600,8571.428571
292,23183.33333,9428.571429
293,3200,0
294,5000,5714.285714
295,15386.66667,0
296,10000,3571.428571
297,8166.666667,4142.857143
298,333.3333333,16428.57143
299,2546.666667,0
300,10316.66667,17428.57143
301,3133.333333,15714.28571
302,19666.66667,11528.57143
303,1733.333333,3571.428571
304,1666.666667,0
305,5166.666667,9348.571429
306,17100,0
307,23166.66667,16571.42857
308,16203.33333,10281.42857
309,4466.666667,28571.42857
310,20,13142.85714
311,10240,0
312,5000,0
313,0,2857.142857
314,0,11714.28571
315,16666.66667,6142.857143
316,13866.66667,10000
317,1166.666667,10285.71429
318,1666.666667,18571.42857
319,5983.333333,17857.14286
320,11833.33333,17142.85714
321,0,13000
322,1200,22142.85714
323,0,5342.857143
324,22300,3142.857143
325,4850,14285.71429
326,18000,11428.57143
327,4360,0
328,16666.66667,4285.714286
329,4333.333333,0
330,3333.333333,37142.85714
331,6000,3457.142857
332,3933.333333,7428.571429
333,6736.666667,0
334,17616.66667,0
335,10393.33333,0
336,0,17142.85714
337,49666.66667,42857.14286
338,0,13428.57143
339,13.33333333,17142.85714
340,12983.33333,0
341,0,17714.28571
342,0,15428.57143
343,23333.33333,9571.428571
344,15666.66667,28571.42857
345,21500,0
346,10800,10000
347,0,2450
348,6740,1071.428571
349,1333.333333,10714.28571
350,7773.333333,6668.571429
351,666.6666667,10500
352,12800,554.2857143
353,4666.666667,4285.714286
354,0,14285.71429
355,9233.333333,7900
356,7416.666667,6821.428571
357,1563.333333,12427.14286
358,0,8792.857143
359,4296.666667,0
360,10826.66667,4142.857143
361,0,0
362,1000,8571.428571
363,1166.666667,12857.14286
364,566.6666667,10052.85714
365,0,5571.428571
366,2106.666667,642.8571429
367,8583.333333,0
368,4680,0
369,6033.333333,3914.285714
370,0,7428.571429
371,0,8514.285714
372,11666.66667,4285.714286
373,2383.333333,9942.857143
374,1666.666667,22857.14286
375,3333.333333,22857.14286
376,9443.333333,19142.85714
377,0,4285.714286
378,3280,0
379,4613.333333,0
380,1120,2265.714286
381,13253.33333,0
382,10000,8571.428571
383,31300,10728.57143
384,1600,0
385,11366.66667,0
386,0,6071.428571
387,0,7857.142857
388,2000,24285.71429
389,8693.333333,31428.57143
390,6333.333333,25714.28571
